Company name,Companies House number,Category,Postcode,Registered address,Incorporated,Accounts type,SIC codes,Nearest FC Urban venue,Walk (min),Venue match,In existing FC Urban sheet?,Contact first name,Contact full name,Contact job title,LinkedIn URL,Connection note (<=300),Note length,Follow-up DM,LinkedIn status,Connected at,Replied,Notes
Alphasights Holdings,,Financial institution,EC4V 3DX,"THAMES COURT, LONDON",03/09/2018,GROUP,63990 - Other information service activities n.e.c. | 64209 - Activities of other holding companies n.e.c.,Borough Academy,19,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 19-min walk from Alphasights Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",258,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Alphasights Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Altitude Investment Management,,Financial institution,EC2V 7JX,"10 NOBLE STREET, ALDER CASTLE 10 NOBLE STREET, LONDON",30/04/2019,FULL,64304 - Activities of open-ended investment companies,Borough Academy,23,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 23-min walk from Altitude Investment Management. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",268,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Altitude Investment Management who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Alwen Hough Johnson,,Financial institution,EC3R 7BB,2 MINSTER COURT MINCING LANE,30/12/1974,FULL,65202 - Non-life reinsurance,Borough Academy,25,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 25-min walk from Alwen Hough Johnson. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",257,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 25 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Alwen Hough Johnson who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Amalgamated Metal Trading,,Financial institution,EC2N 4AY,"LEVEL 35, LONDON",11/07/1919,FULL,66120 - Security and commodity contracts dealing activities,Whitechapel,24,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 24-min walk from Amalgamated Metal Trading. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",259,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Amalgamated Metal Trading who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Ambac Assurance Uk,,Financial institution,EC2R 6EJ,"5TH FLOOR, 48/54, LONDON",11/09/1996,FULL,65120 - Non-life insurance,Old St - Moreland Primary School,25,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 25-min walk from Ambac Assurance Uk. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",273,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 25 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Ambac Assurance Uk who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Amber River Chancery,,Financial institution,EC4Y 1BP,"FIRST FLOOR MITRE HOUSE, LONDON",31/05/2001,FULL,64999 - Financial intermediation not elsewhere classified,Borough Academy,21,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 21-min walk from Amber River Chancery. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",258,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 21 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Amber River Chancery who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Amber River Group,,Financial institution,EC2M 1QS,"LEVEL 4, DASHWOOD HOUSE, 69, LONDON",12/04/2019,GROUP,64209 - Activities of other holding companies n.e.c.,Whitechapel,26,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 26-min walk from Amber River Group. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",251,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 26 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Amber River Group who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Ambipar Holdings (Uk),,Financial institution,EC2M 5QQ,"OFFICE 681 - 684, 4TH FLOOR, SALISBURY HOUSE, LONDON",17/12/2020,FULL,64209 - Activities of other holding companies n.e.c.,Whitechapel,23,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 23-min walk from Ambipar Holdings (Uk). Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",255,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Ambipar Holdings (Uk) who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Amova Am Global Holdings,,Financial institution,EC4R 1BN,"36 QUEEN STREET, LONDON",16/03/1998,FULL,64205 - Activities of financial services holding companies,Borough Academy,18,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 18-min walk from Amova Am Global Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",262,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 18 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Amova Am Global Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Amova Asset Management Uk,,Financial institution,EC4R 1BN,"36 QUEEN STREET, LONDON",27/03/1984,FULL,64999 - Financial intermediation not elsewhere classified,Borough Academy,18,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 18-min walk from Amova Asset Management Uk. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",263,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 18 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Amova Asset Management Uk who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
